,Unnamed: 0,Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom (Life Choices),Generosity,Perceptions of Corruption,Happiness Category
438,127,Tunisia,Middle East and North Africa,2020,128,4.392199993,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,Low Happiness
439,128,Mauritania,Sub-Saharan Africa,2020,129,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,Low Happiness
440,129,Sri Lanka,South Asia,2020,130,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,Low Happiness
441,130,Democratic Republic of the Congo,Sub-Saharan Africa,2020,131,4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,Low Happiness
442,131,Swaziland,Sub-Saharan Africa,2020,132,4.308100224,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,Low Happiness
443,132,Myanmar,Southeast Asia,2020,133,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,Low Happiness
444,133,Comoros,Sub-Saharan Africa,2020,134,4.288599968,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,Low Happiness
445,134,Togo,Sub-Saharan Africa,2020,135,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,Low Happiness
446,135,Ethiopia,Sub-Saharan Africa,2020,136,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,Low Happiness
447,136,Madagascar,Sub-Saharan Africa,2020,137,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,Low Happiness
448,137,Egypt,Middle East and North Africa,2020,138,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,Low Happiness
449,138,Sierra Leone,Sub-Saharan Africa,2020,139,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,Low Happiness
450,139,Burundi,Sub-Saharan Africa,2020,140,3.775300026,0.0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,Low Happiness
451,140,Zambia,Sub-Saharan Africa,2020,141,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,Low Happiness
452,141,Haiti,Latin America and Caribbean,2020,142,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,Low Happiness
453,142,Lesotho,Sub-Saharan Africa,2020,143,3.652800083,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,Low Happiness
454,143,India,South Asia,2020,144,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,Low Happiness
455,144,Malawi,Sub-Saharan Africa,2020,145,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,Low Happiness
456,145,Yemen,Middle East and North Africa,2020,146,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,Low Happiness
457,146,Botswana,Sub-Saharan Africa,2020,147,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,Low Happiness
458,147,Tanzania,Sub-Saharan Africa,2020,148,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,Low Happiness
459,148,Central African Republic,Sub-Saharan Africa,2020,149,3.475899935,0.041072082,0.0,0.0,0.292814463,0.253513217,0.028264718,Low Happiness
460,149,Rwanda,Sub-Saharan Africa,2020,150,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,Low Happiness
461,150,Zimbabwe,Sub-Saharan Africa,2020,151,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,Low Happiness
462,151,South Sudan,Sub-Saharan Africa,2020,152,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,Low Happiness
463,152,Afghanistan,South Asia,2020,153,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785,Low Happiness
464,0,Finland,Western Europe,2021,1,7.842,1.446,1.106,0.741,0.691,0.124,0.481,High Happiness
465,1,Denmark,Western Europe,2021,2,7.62,1.502,1.108,0.763,0.686,0.208,0.485,High Happiness
466,2,Switzerland,Western Europe,2021,3,7.571,1.566,1.079,0.816,0.653,0.204,0.413,High Happiness
467,3,Iceland,Western Europe,2021,4,7.554,1.482,1.172,0.772,0.698,0.293,0.17,High Happiness
468,4,Netherlands,Western Europe,2021,5,7.464,1.501,1.079,0.753,0.647,0.302,0.384,High Happiness
469,5,Norway,Western Europe,2021,6,7.392,1.543,1.108,0.782,0.703,0.249,0.427,High Happiness
470,6,Sweden,Western Europe,2021,7,7.363,1.478,1.062,0.763,0.685,0.244,0.448,High Happiness
471,7,Luxembourg,Western Europe,2021,8,7.324,1.751,1.003,0.76,0.639,0.166,0.353,High Happiness
472,8,New Zealand,North America and ANZ,2021,9,7.277,1.4,1.094,0.785,0.665,0.276,0.445,High Happiness
473,9,Austria,Western Europe,2021,10,7.268,1.492,1.062,0.782,0.64,0.215,0.292,High Happiness
474,10,Australia,North America and ANZ,2021,11,7.183,1.453,1.076,0.801,0.647,0.291,0.317,High Happiness
475,11,Israel,Middle East and North Africa,2021,12,7.157,1.376,1.074,0.788,0.509,0.208,0.119,High Happiness
476,12,Germany,Western Europe,2021,13,7.155,1.48,0.993,0.757,0.6,0.195,0.306,High Happiness
477,13,Canada,North America and ANZ,2021,14,7.103,1.447,1.044,0.798,0.648,0.246,0.335,High Happiness
478,14,Ireland,Western Europe,2021,15,7.085,1.644,1.092,0.753,0.606,0.238,0.367,High Happiness
479,15,Costa Rica,Latin America and Caribbean,2021,16,7.069,1.134,0.966,0.722,0.673,0.105,0.083,High Happiness
480,16,United Kingdom,Western Europe,2021,17,7.064,1.423,1.062,0.757,0.58,0.34,0.306,High Happiness
481,17,Czech Republic,Central and Eastern Europe,2021,18,6.965,1.37,1.09,0.703,0.58,0.052,0.046,High Happiness
482,18,United States,North America and ANZ,2021,19,6.951,1.533,1.03,0.621,0.554,0.252,0.154,High Happiness
483,19,Belgium,Western Europe,2021,20,6.834,1.463,0.998,0.747,0.489,0.088,0.187,High Happiness
484,20,France,Western Europe,2021,21,6.69,1.421,1.081,0.804,0.536,0.092,0.235,High Happiness
485,21,Bahrain,Middle East and North Africa,2021,22,6.647,1.409,0.899,0.662,0.661,0.246,0.139,High Happiness
486,22,Malta,Western Europe,2021,23,6.602,1.411,1.055,0.747,0.664,0.275,0.183,High Happiness
487,23,Taiwan,East Asia,2021,24,6.584,1.48,0.982,0.665,0.49,0.142,0.139,High Happiness
488,24,United Arab Emirates,Middle East and North Africa,2021,25,6.561,1.555,0.86,0.594,0.67,0.236,0.223,High Happiness
489,25,Saudi Arabia,Middle East and North Africa,2021,26,6.494,1.435,0.964,0.571,0.603,0.09,0.163,Average Happiness
490,26,Spain,Western Europe,2021,27,6.491,1.375,1.057,0.826,0.462,0.135,0.124,Average Happiness
491,27,Italy,Western Europe,2021,28,6.483,1.393,0.94,0.798,0.379,0.133,0.047,Average Happiness
492,28,Slovenia,Central and Eastern Europe,2021,29,6.461,1.36,1.093,0.722,0.69,0.122,0.085,Average Happiness
493,29,Guatemala,Latin America and Caribbean,2021,30,6.435,0.845,0.79,0.519,0.638,0.163,0.105,Average Happiness
494,30,Uruguay,Latin America and Caribbean,2021,31,6.431,1.164,1.042,0.649,0.625,0.128,0.223,Average Happiness
495,31,Singapore,Southeast Asia,2021,32,6.377,1.695,1.019,0.897,0.664,0.176,0.547,Average Happiness
496,32,Kosovo,Central and Eastern Europe,2021,33,6.372,0.937,0.807,0.483,0.593,0.356,0.014,Average Happiness
497,33,Slovakia,Central and Eastern Europe,2021,34,6.331,1.304,1.066,0.653,0.468,0.107,0.018,Average Happiness
498,34,Brazil,Latin America and Caribbean,2021,35,6.33,1.028,0.944,0.571,0.514,0.142,0.117,Average Happiness
499,35,Mexico,Latin America and Caribbean,2021,36,6.317,1.126,0.83,0.634,0.585,0.092,0.089,Average Happiness
500,36,Jamaica,Latin America and Caribbean,2021,37,6.309,0.891,0.932,0.599,0.618,0.099,0.035,Average Happiness
501,37,Lithuania,Central and Eastern Europe,2021,38,6.255,1.35,1.065,0.612,0.476,0.056,0.073,Average Happiness
502,38,Cyprus,Western Europe,2021,39,6.223,1.377,0.765,0.801,0.464,0.178,0.061,Average Happiness
503,39,Estonia,Central and Eastern Europe,2021,40,6.189,1.344,1.079,0.64,0.641,0.119,0.263,Average Happiness
504,40,Panama,Latin America and Caribbean,2021,41,6.18,1.298,0.976,0.667,0.596,0.079,0.053,Average Happiness
505,41,Uzbekistan,Commonwealth of Independent States,2021,42,6.179,0.769,1.027,0.528,0.716,0.391,0.271,Average Happiness
506,42,Chile,Latin America and Caribbean,2021,43,6.172,1.2,0.946,0.678,0.438,0.159,0.07,Average Happiness
507,43,Poland,Central and Eastern Europe,2021,44,6.166,1.309,0.982,0.668,0.558,0.08,0.13,Average Happiness
508,44,Kazakhstan,Commonwealth of Independent States,2021,45,6.152,1.23,1.103,0.527,0.573,0.143,0.132,Average Happiness
509,45,Romania,Central and Eastern Europe,2021,46,6.14,1.275,0.832,0.595,0.564,0.045,0.001,Average Happiness
510,46,Kuwait,Middle East and North Africa,2021,47,6.106,1.461,0.857,0.58,0.591,0.12,0.13,Average Happiness
511,47,Serbia,Central and Eastern Europe,2021,48,6.078,1.101,0.924,0.634,0.482,0.189,0.066,Average Happiness
512,48,El Salvador,Latin America and Caribbean,2021,49,6.061,0.845,0.675,0.565,0.615,0.116,0.16,Average Happiness
513,49,Mauritius,Sub-Saharan Africa,2021,50,6.049,1.178,0.996,0.574,0.59,0.153,0.096,Average Happiness
514,50,Latvia,Central and Eastern Europe,2021,51,6.032,1.285,1.047,0.587,0.405,0.082,0.089,Average Happiness
515,51,Colombia,Latin America and Caribbean,2021,52,6.012,1.021,0.866,0.615,0.554,0.1,0.063,Average Happiness
516,52,Hungary,Central and Eastern Europe,2021,53,5.992,1.301,1.083,0.615,0.454,0.067,0.04,Average Happiness
517,53,Thailand,Southeast Asia,2021,54,5.985,1.107,0.957,0.596,0.611,0.375,0.028,Average Happiness
518,54,Nicaragua,Latin America and Caribbean,2021,55,5.972,0.693,0.904,0.604,0.553,0.201,0.176,Average Happiness
519,55,Japan,East Asia,2021,56,5.94,1.389,0.949,0.838,0.504,0.02,0.192,Average Happiness
520,56,Argentina,Latin America and Caribbean,2021,57,5.929,1.162,0.98,0.646,0.544,0.069,0.067,Average Happiness
521,57,Portugal,Western Europe,2021,57,5.929,1.323,0.939,0.76,0.621,0.029,0.033,Average Happiness
522,58,Honduras,Latin America and Caribbean,2021,59,5.919,0.703,0.787,0.593,0.578,0.241,0.083,Average Happiness
523,59,Croatia,Central and Eastern Europe,2021,60,5.882,1.251,1.039,0.703,0.453,0.111,0.0,Average Happiness
524,60,Philippines,Southeast Asia,2021,61,5.88,0.853,0.828,0.426,0.651,0.125,0.126,Average Happiness
525,61,South Korea,East Asia,2021,62,5.845,1.403,0.758,0.801,0.353,0.134,0.135,Average Happiness
526,62,Peru,Latin America and Caribbean,2021,63,5.84,0.986,0.833,0.623,0.536,0.087,0.031,Average Happiness
527,63,Bosnia and Herzegovina,Central and Eastern Europe,2021,64,5.813,1.032,0.919,0.618,0.395,0.261,0.005,Average Happiness
528,64,Moldova,Commonwealth of Independent States,2021,65,5.766,0.985,0.888,0.542,0.536,0.137,0.013,Average Happiness
529,65,Ecuador,Latin America and Caribbean,2021,66,5.764,0.935,0.806,0.64,0.56,0.107,0.062,Average Happiness
530,66,Kyrgyzstan,Commonwealth of Independent States,2021,67,5.744,0.665,0.971,0.501,0.673,0.266,0.02,Average Happiness
531,67,Greece,Western Europe,2021,68,5.723,1.273,0.811,0.76,0.243,0.0,0.074,Average Happiness
532,68,Bolivia,Latin America and Caribbean,2021,69,5.716,0.842,0.782,0.486,0.6,0.138,0.064,Average Happiness
533,69,Mongolia,East Asia,2021,70,5.677,0.966,1.065,0.442,0.397,0.263,0.053,Average Happiness
534,70,Paraguay,Latin America and Caribbean,2021,71,5.653,0.983,0.97,0.549,0.602,0.206,0.037,Average Happiness
535,71,Montenegro,Central and Eastern Europe,2021,72,5.581,1.155,0.891,0.637,0.397,0.166,0.081,Average Happiness
536,72,Dominican Republic,Latin America and Caribbean,2021,73,5.545,1.106,0.879,0.555,0.581,0.101,0.144,Average Happiness
537,73,North Cyprus,Western Europe,2021,74,5.536,1.377,0.806,0.801,0.503,0.196,0.2,Average Happiness
538,74,Belarus,Commonwealth of Independent States,2021,75,5.534,1.124,1.007,0.56,0.326,0.07,0.199,Average Happiness
539,75,Russia,Commonwealth of Independent States,2021,76,5.477,1.241,0.992,0.511,0.409,0.115,0.06,Average Happiness
540,76,Hong Kong,East Asia,2021,76,5.477,1.525,0.841,0.893,0.408,0.232,0.342,Average Happiness
541,77,Tajikistan,Commonwealth of Independent States,2021,78,5.466,0.508,0.895,0.498,0.548,0.152,0.247,Average Happiness
542,78,Vietnam,Southeast Asia,2021,79,5.411,0.817,0.873,0.616,0.679,0.124,0.091,Average Happiness
543,79,Libya,Middle East and North Africa,2021,80,5.41,1.044,0.821,0.435,0.474,0.131,0.174,Average Happiness
544,80,Malaysia,Southeast Asia,2021,81,5.384,1.259,0.797,0.587,0.624,0.27,0.064,Average Happiness
545,81,Indonesia,Southeast Asia,2021,82,5.345,0.954,0.786,0.433,0.598,0.541,0.046,Average Happiness
546,82,Republic of the Congo,Sub-Saharan Africa,2021,83,5.342,0.518,0.392,0.307,0.381,0.144,0.124,Average Happiness
547,83,China,East Asia,2021,84,5.339,1.061,0.785,0.665,0.636,0.093,0.117,Average Happiness
548,84,Ivory Coast,Sub-Saharan Africa,2021,85,5.306,0.669,0.409,0.052,0.438,0.177,0.092,Average Happiness
549,85,Armenia,Commonwealth of Independent States,2021,86,5.283,0.996,0.758,0.585,0.54,0.079,0.198,Average Happiness
550,86,Nepal,South Asia,2021,87,5.269,0.519,0.702,0.496,0.488,0.287,0.135,Average Happiness
551,87,Bulgaria,Central and Eastern Europe,2021,88,5.266,1.181,1.055,0.583,0.494,0.125,0.005,Average Happiness
552,88,Maldives,South Asia,2021,89,5.198,1.115,1.015,0.697,0.575,0.204,0.073,Average Happiness
553,89,Azerbaijan,Commonwealth of Independent States,2021,90,5.171,1.025,0.841,0.541,0.526,0.043,0.276,Average Happiness
554,90,Cameroon,Sub-Saharan Africa,2021,91,5.142,0.543,0.556,0.159,0.425,0.205,0.058,Average Happiness
555,91,Senegal,Sub-Saharan Africa,2021,92,5.132,0.518,0.558,0.357,0.381,0.158,0.088,Average Happiness
556,92,Albania,Central and Eastern Europe,2021,93,5.117,1.008,0.529,0.646,0.491,0.168,0.024,Average Happiness
557,93,North Macedonia,Central and Eastern Europe,2021,94,5.101,1.068,0.772,0.535,0.45,0.212,0.022,Average Happiness
558,94,Ghana,Sub-Saharan Africa,2021,95,5.088,0.68,0.595,0.287,0.517,0.268,0.058,Average Happiness
559,95,Niger,Sub-Saharan Africa,2021,96,5.074,0.162,0.402,0.167,0.516,0.2,0.157,Average Happiness
560,96,Turkmenistan,Commonwealth of Independent States,2021,97,5.066,1.046,1.172,0.439,0.602,0.366,0.033,Average Happiness
561,97,Gambia,Sub-Saharan Africa,2021,98,5.051,0.367,0.511,0.21,0.384,0.465,0.123,Average Happiness
562,98,Benin,Sub-Saharan Africa,2021,99,5.045,0.507,0.058,0.196,0.457,0.166,0.178,Average Happiness
563,99,Laos,Southeast Asia,2021,100,5.03,0.808,0.598,0.33,0.643,0.268,0.179,Average Happiness
564,100,Bangladesh,South Asia,2021,101,5.025,0.635,0.52,0.514,0.603,0.161,0.164,Average Happiness
565,101,Guinea,Sub-Saharan Africa,2021,102,4.984,0.42,0.399,0.206,0.384,0.25,0.111,Average Happiness
566,102,South Africa,Sub-Saharan Africa,2021,103,4.956,0.967,0.895,0.265,0.447,0.144,0.051,Average Happiness
567,103,Turkiye,Middle East and North Africa,2021,104,4.948,1.26,0.809,0.59,0.236,0.097,0.104,Average Happiness
568,104,Pakistan,South Asia,2021,105,4.934,0.637,0.423,0.322,0.418,0.252,0.097,Average Happiness
569,105,Morocco,Middle East and North Africa,2021,106,4.918,0.792,0.219,0.558,0.477,0.034,0.088,Average Happiness
570,106,Venezuela,Latin America and Caribbean,2021,107,4.892,0.852,0.897,0.574,0.284,0.078,0.072,Average Happiness
571,107,Georgia,Commonwealth of Independent States,2021,108,4.891,1.03,0.47,0.498,0.488,0.032,0.181,Average Happiness
572,108,Algeria,Middle East and North Africa,2021,109,4.887,0.946,0.765,0.552,0.119,0.144,0.12,Average Happiness
573,109,Ukraine,Commonwealth of Independent States,2021,110,4.875,0.979,0.958,0.517,0.417,0.181,0.01,Average Happiness
574,110,Iraq,Middle East and North Africa,2021,111,4.854,0.91,0.638,0.381,0.302,0.153,0.041,Average Happiness
575,111,Gabon,Sub-Saharan Africa,2021,112,4.852,1.037,0.707,0.362,0.424,0.058,0.064,Average Happiness
576,112,Burkina Faso,Sub-Saharan Africa,2021,113,4.834,0.364,0.472,0.179,0.381,0.182,0.122,Average Happiness
577,113,Cambodia,Southeast Asia,2021,114,4.83,0.603,0.68,0.426,0.702,0.21,0.061,Average Happiness
578,114,Mozambique,Sub-Saharan Africa,2021,115,4.794,0.183,0.634,0.196,0.608,0.228,0.163,Average Happiness
579,115,Nigeria,Sub-Saharan Africa,2021,116,4.759,0.663,0.625,0.051,0.433,0.212,0.039,Average Happiness
580,116,Mali,Sub-Saharan Africa,2021,117,4.723,0.387,0.59,0.11,0.384,0.164,0.072,Average Happiness
581,117,Iran,Middle East and North Africa,2021,118,4.721,1.03,0.557,0.561,0.275,0.33,0.144,Average Happiness
582,118,Uganda,Sub-Saharan Africa,2021,119,4.636,0.364,0.718,0.24,0.398,0.267,0.054,Average Happiness
583,119,Liberia,Sub-Saharan Africa,2021,120,4.625,0.228,0.58,0.253,0.43,0.221,0.057,Average Happiness
584,120,Kenya,Sub-Saharan Africa,2021,121,4.607,0.603,0.508,0.385,0.483,0.375,0.073,Average Happiness
585,121,Tunisia,Middle East and North Africa,2021,122,4.596,0.919,0.515,0.59,0.334,0.057,0.044,Average Happiness
586,122,Lebanon,Middle East and North Africa,2021,123,4.584,1.045,0.868,0.595,0.175,0.14,0.026,Average Happiness
587,123,Namibia,Sub-Saharan Africa,2021,124,4.574,0.882,0.801,0.262,0.411,0.091,0.059,Average Happiness
588,124,State of Palestine,Middle East and North Africa,2021,125,4.517,0.646,0.819,0.434,0.33,0.082,0.075,Average Happiness
589,125,Myanmar,Southeast Asia,2021,126,4.426,0.666,0.713,0.341,0.601,0.52,0.178,Low Happiness
590,126,Jordan,Middle East and North Africa,2021,127,4.395,0.89,0.685,0.583,0.455,0.079,0.15,Low Happiness
591,127,Chad,Sub-Saharan Africa,2021,128,4.355,0.255,0.353,0.0,0.24,0.215,0.084,Low Happiness
592,128,Sri Lanka,South Asia,2021,129,4.325,0.99,0.82,0.593,0.559,0.239,0.049,Low Happiness
593,129,Swaziland,Sub-Saharan Africa,2021,130,4.308,0.849,0.693,0.074,0.323,0.067,0.147,Low Happiness
594,130,Comoros,Sub-Saharan Africa,2021,131,4.289,0.488,0.367,0.279,0.202,0.241,0.101,Low Happiness
595,131,Egypt,Middle East and North Africa,2021,132,4.283,0.954,0.647,0.426,0.446,0.069,0.092,Low Happiness
596,132,Ethiopia,Sub-Saharan Africa,2021,133,4.275,0.37,0.679,0.331,0.451,0.241,0.114,Low Happiness
597,133,Mauritania,Sub-Saharan Africa,2021,134,4.227,0.666,0.749,0.273,0.218,0.119,0.133,Low Happiness
598,134,Madagascar,Sub-Saharan Africa,2021,135,4.208,0.266,0.503,0.341,0.207,0.185,0.087,Low Happiness
599,135,Togo,Sub-Saharan Africa,2021,136,4.107,0.254,0.239,0.203,0.289,0.209,0.107,Low Happiness
600,136,Zambia,Sub-Saharan Africa,2021,137,4.073,0.528,0.552,0.231,0.487,0.227,0.074,Low Happiness
601,137,Sierra Leone,Sub-Saharan Africa,2021,138,3.849,0.279,0.377,0.1,0.408,0.243,0.047,Low Happiness
602,138,India,South Asia,2021,139,3.819,0.741,0.316,0.383,0.622,0.246,0.106,Low Happiness
603,139,Burundi,Sub-Saharan Africa,2021,140,3.775,0.0,0.062,0.155,0.298,0.172,0.212,Low Happiness
604,140,Yemen,Middle East and North Africa,2021,141,3.658,0.329,0.831,0.272,0.268,0.092,0.089,Low Happiness
605,141,Tanzania,Sub-Saharan Africa,2021,142,3.623,0.433,0.54,0.3,0.549,0.307,0.231,Low Happiness
606,142,Haiti,Latin America and Caribbean,2021,143,3.615,0.294,0.173,0.227,0.257,0.463,0.139,Low Happiness
607,143,Malawi,Sub-Saharan Africa,2021,144,3.6,0.113,0.168,0.298,0.484,0.213,0.134,Low Happiness
608,144,Lesotho,Sub-Saharan Africa,2021,145,3.512,0.451,0.731,0.007,0.405,0.103,0.015,Low Happiness
609,145,Botswana,Sub-Saharan Africa,2021,146,3.467,1.099,0.724,0.34,0.539,0.027,0.088,Low Happiness
610,146,Rwanda,Sub-Saharan Africa,2021,147,3.415,0.364,0.202,0.407,0.627,0.227,0.493,Low Happiness
611,147,Zimbabwe,Sub-Saharan Africa,2021,148,3.145,0.457,0.649,0.243,0.359,0.157,0.075,Low Happiness
612,148,Afghanistan,South Asia,2021,149,2.523,0.37,0.0,0.126,0.0,0.122,0.01,Low Happiness
613,0,Finland,Western Europe,2022,1,7.821,1.892,1.258,0.775,0.736,0.109,0.534,High Happiness
614,1,Denmark,Western Europe,2022,2,7.636,1.953,1.243,0.777,0.719,0.188,0.532,High Happiness
615,2,Iceland,Western Europe,2022,3,7.557,1.936,1.32,0.803,0.718,0.27,0.191,High Happiness
616,3,Switzerland,Western Europe,2022,4,7.512,2.026,1.226,0.822,0.677,0.147,0.461,High Happiness
617,4,Netherlands,Western Europe,2022,5,7.415,1.945,1.206,0.787,0.651,0.271,0.419,High Happiness
618,5,Luxembourg,Western Europe,2022,6,7.404,2.209,1.155,0.79,0.7,0.12,0.388,High Happiness
619,6,Sweden,Western Europe,2022,7,7.384,1.92,1.204,0.803,0.724,0.218,0.512,High Happiness
620,7,Norway,Western Europe,2022,8,7.365,1.997,1.239,0.786,0.728,0.217,0.474,High Happiness
621,8,Israel,Middle East and North Africa,2022,9,7.364,1.826,1.221,0.818,0.568,0.155,0.143,High Happiness
622,9,New Zealand,North America and ANZ,2022,10,7.2,1.852,1.235,0.752,0.68,0.245,0.483,High Happiness
623,10,Austria,Western Europe,2022,11,7.163,1.931,1.165,0.774,0.623,0.193,0.329,High Happiness
624,11,Australia,North America and ANZ,2022,12,7.162,1.9,1.203,0.772,0.676,0.258,0.341,High Happiness
625,12,Ireland,Western Europe,2022,13,7.041,2.129,1.166,0.779,0.627,0.19,0.408,High Happiness
626,13,Germany,Western Europe,2022,14,7.034,1.924,1.088,0.776,0.585,0.163,0.358,High Happiness
627,14,Canada,North America and ANZ,2022,15,7.025,1.886,1.188,0.783,0.659,0.217,0.368,High Happiness
628,15,United States,North America and ANZ,2022,16,6.977,1.982,1.182,0.628,0.574,0.22,0.177,High Happiness
629,16,United Kingdom,Western Europe,2022,17,6.943,1.867,1.143,0.75,0.597,0.289,0.329,High Happiness
630,17,Czech Republic,Central and Eastern Europe,2022,18,6.92,1.815,1.26,0.715,0.66,0.158,0.048,High Happiness
631,18,Belgium,Western Europe,2022,19,6.805,1.907,1.106,0.764,0.492,0.049,0.204,High Happiness
632,19,France,Western Europe,2022,20,6.687,1.863,1.219,0.808,0.567,0.07,0.266,High Happiness
633,20,Bahrain,Middle East and North Africa,2022,21,6.647,1.854,1.029,0.625,0.693,0.199,0.155,High Happiness
634,21,Slovenia,Central and Eastern Europe,2022,22,6.63,1.81,1.249,0.769,0.685,0.118,0.115,High Happiness
635,22,Costa Rica,Latin America and Caribbean,2022,23,6.582,1.584,1.054,0.744,0.661,0.089,0.102,High Happiness
636,23,United Arab Emirates,Middle East and North Africa,2022,24,6.576,1.998,0.98,0.633,0.702,0.204,0.25,High Happiness
637,24,Saudi Arabia,Middle East and North Africa,2022,25,6.523,1.87,1.092,0.577,0.651,0.078,0.18,High Happiness
638,25,Taiwan,East Asia,2022,26,6.512,1.897,1.095,0.733,0.542,0.075,0.168,High Happiness
639,26,Singapore,Southeast Asia,2022,27,6.48,2.149,1.127,0.851,0.672,0.163,0.587,Average Happiness
640,27,Romania,Central and Eastern Europe,2022,28,6.477,1.719,1.006,0.655,0.605,0.039,0.006,Average Happiness
641,28,Spain,Western Europe,2022,29,6.476,1.808,1.211,0.808,0.505,0.101,0.149,Average Happiness
642,29,Uruguay,Latin America and Caribbean,2022,30,6.474,1.615,1.18,0.672,0.665,0.103,0.265,Average Happiness
643,30,Italy,Western Europe,2022,31,6.467,1.834,1.052,0.801,0.412,0.085,0.059,Average Happiness
644,31,Kosovo,Central and Eastern Europe,2022,32,6.455,1.362,0.949,0.569,0.599,0.309,0.035,Average Happiness
645,32,Malta,Western Europe,2022,33,6.447,1.838,1.169,0.789,0.679,0.174,0.166,Average Happiness
646,33,Lithuania,Central and Eastern Europe,2022,34,6.446,1.804,1.204,0.659,0.496,0.053,0.077,Average Happiness
647,34,Slovakia,Central and Eastern Europe,2022,35,6.391,1.736,1.232,0.707,0.479,0.118,0.025,Average Happiness
648,35,Estonia,Central and Eastern Europe,2022,36,6.341,1.793,1.232,0.728,0.689,0.123,0.333,Average Happiness
649,36,Panama,Latin America and Caribbean,2022,37,6.309,1.715,1.107,0.709,0.592,0.049,0.051,Average Happiness
650,37,Brazil,Latin America and Caribbean,2022,38,6.293,1.462,1.044,0.615,0.546,0.131,0.134,Average Happiness
651,38,Guatemala,Latin America and Caribbean,2022,39,6.262,1.274,0.831,0.522,0.662,0.112,0.115,Average Happiness
652,39,Kazakhstan,Commonwealth of Independent States,2022,40,6.234,1.668,1.22,0.611,0.584,0.134,0.157,Average Happiness
653,40,Cyprus,Western Europe,2022,41,6.221,1.815,0.909,0.819,0.448,0.123,0.062,Average Happiness
654,41,Latvia,Central and Eastern Europe,2022,42,6.18,1.732,1.221,0.637,0.502,0.075,0.09,Average Happiness
655,42,Serbia,Central and Eastern Europe,2022,43,6.178,1.55,1.086,0.658,0.546,0.219,0.088,Average Happiness
656,43,Chile,Latin America and Caribbean,2022,44,6.172,1.651,1.08,0.748,0.46,0.124,0.069,Average Happiness
657,44,Nicaragua,Latin America and Caribbean,2022,45,6.165,1.105,1.029,0.617,0.617,0.168,0.212,Average Happiness
658,45,Mexico,Latin America and Caribbean,2022,46,6.128,1.552,0.886,0.623,0.621,0.092,0.115,Average Happiness
659,46,Croatia,Central and Eastern Europe,2022,47,6.125,1.705,1.183,0.709,0.535,0.109,0.0,Average Happiness
660,47,Poland,Central and Eastern Europe,2022,48,6.123,1.758,1.174,0.712,0.523,0.124,0.14,Average Happiness
661,48,El Salvador,Latin America and Caribbean,2022,49,6.12,1.265,0.768,0.607,0.666,0.089,0.212,Average Happiness
662,49,Kuwait,Middle East and North Africa,2022,50,6.106,1.904,0.983,0.747,0.617,0.087,0.147,Average Happiness
663,50,Hungary,Central and Eastern Europe,2022,51,6.086,1.748,1.233,0.668,0.485,0.078,0.064,Average Happiness
664,51,Mauritius,Sub-Saharan Africa,2022,52,6.071,1.591,1.116,0.568,0.589,0.131,0.107,Average Happiness
665,52,Uzbekistan,Commonwealth of Independent States,2022,53,6.063,1.219,1.092,0.6,0.716,0.283,0.24,Average Happiness
666,53,Japan,East Asia,2022,54,6.039,1.835,1.089,0.866,0.537,0.007,0.218,Average Happiness
